0,0.097*"haramb" + 0.038*"meme" + 0.035*"good" + 0.032*"basic"
1,0.182*"haramb" + 0.104*"like" + 0.093*"squad" + 0.061*"wshhcomedi"
2,0.129*"haramb" + 0.025*"kill" + 0.025*"fuck" + 0.023*"dick"
3,0.120*"haramb" + 0.023*"just" + 0.015*"gorilla" + 0.014*"night"
4,0.098*"haramb" + 0.076*"halloween" + 0.047*"dress" + 0.041*"parti"
5,0.164*"000" + 0.111*"haramb" + 0.094*"make" + 0.087*"ll"
6,0.106*"haramb" + 0.031*"rip" + 0.030*"now" + 0.018*"dead"
7,0.097*"haramb" + 0.023*"like" + 0.022*"don" + 0.016*"will"
8,0.120*"haramb" + 0.046*"sexi" + 0.045*"costum" + 0.039*"consult"
9,0.103*"haramb" + 0.078*"blacklivesmatt" + 0.077*"dio" + 0.077*"fratelloscimmia"
